fight,final_round,ko여부,winner_sig_str_succ,winner_sig_str_att,loser_sig_str_succ,loser_sig_str_att,winner_total_str_succ,winner_total_str_att,loser_total_str_succ,loser_total_str_att,winner_td_attempt_succ,winner_td_attempt_att,loser_td_attempt_succ,loser_td_attempt_att,winner_head_succ,winner_head_att,loser_head_succ,loser_head_att,winner_body_succ,winner_body_att,loser_body_succ,loser_body_att,winner_leg_succ,winner_leg_att,loser_leg_succ,loser_leg_att,winner_distance_succ,winner_distance_att,loser_distance_succ,loser_distance_att,winner_clinch_succ,winner_clinch_att,loser_clinch_succ,loser_clinch_att,winner_ground_succ,winner_ground_att,loser_ground_succ,loser_ground_att,winner_kd,loser_kd,winner_sig_str_pct,loser_sig_str_pct,winner_td_pct,loser_td_pct,winner_sub_att,loser_sub_att,winner_rev,loser_rev,winner_ctrl_sec,loser_ctrl_sec
fight157,2,1,29.0,65.0,22.0,88.0,32.0,68.0,24.0,90.0,1.0,1.0,0.0,0.0,21.0,56.0,12.0,73.0,4.0,5.0,3.0,8.0,4.0,4.0,7.0,7.0,25.0,60.0,22.0,86.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,44.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0
fight160,2,1,12.0,16.0,0.0,4.0,15.0,19.0,0.0,4.0,3.0,7.0,0.0,0.0,3.0,7.0,0.0,4.0,6.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,6.0,0.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,75.0,0.0,42.0,0.0,0.0,0.0,1.0,1.0,268.0,7.0
fight161,2,1,31.0,71.0,36.0,87.0,35.0,75.0,37.0,88.0,0.0,0.0,1.0,1.0,13.0,39.0,26.0,77.0,16.0,30.0,9.0,9.0,2.0,2.0,1.0,1.0,21.0,59.0,30.0,79.0,10.0,12.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,17.0
fight164,2,1,40.0,75.0,20.0,49.0,46.0,81.0,20.0,49.0,1.0,3.0,0.0,0.0,28.0,61.0,12.0,36.0,8.0,10.0,6.0,10.0,4.0,4.0,2.0,3.0,25.0,50.0,19.0,47.0,1.0,1.0,1.0,1.0,14.0,24.0,0.0,1.0,0.0,0.0,53.0,40.0,33.0,0.0,1.0,0.0,0.0,0.0,141.0,14.0
fight166,2,1,5.0,15.0,15.0,24.0,6.0,16.0,36.0,46.0,1.0,1.0,0.0,0.0,4.0,14.0,9.0,17.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,5.0,13.0,8.0,17.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,4.0,0.0,1.0,33.0,62.0,100.0,0.0,0.0,1.0,0.0,0.0,227.0,30.0
fight167,2,1,49.0,85.0,18.0,49.0,49.0,85.0,18.0,49.0,0.0,0.0,0.0,0.0,21.0,52.0,8.0,35.0,8.0,13.0,6.0,8.0,20.0,20.0,4.0,6.0,49.0,82.0,18.0,48.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight169,2,1,5.0,11.0,64.0,80.0,5.0,11.0,81.0,100.0,0.0,0.0,2.0,5.0,4.0,10.0,56.0,72.0,1.0,1.0,5.0,5.0,0.0,0.0,3.0,3.0,3.0,7.0,15.0,18.0,2.0,4.0,11.0,15.0,0.0,0.0,38.0,47.0,0.0,0.0,45.0,80.0,0.0,40.0,0.0,1.0,0.0,0.0,8.0,212.0
fight170,2,1,15.0,30.0,14.0,41.0,15.0,30.0,14.0,41.0,0.0,1.0,1.0,2.0,11.0,25.0,12.0,38.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,25.0,8.0,33.0,3.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,50.0,34.0,0.0,50.0,0.0,0.0,1.0,0.0,15.0,27.0
fight172,2,1,18.0,47.0,20.0,63.0,18.0,47.0,20.0,63.0,0.0,2.0,0.0,0.0,5.0,29.0,13.0,53.0,9.0,12.0,1.0,2.0,4.0,6.0,6.0,8.0,17.0,44.0,19.0,62.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight178,2,1,20.0,43.0,16.0,45.0,28.0,52.0,16.0,45.0,2.0,2.0,0.0,0.0,13.0,36.0,9.0,33.0,6.0,6.0,3.0,8.0,1.0,1.0,4.0,4.0,17.0,35.0,15.0,44.0,1.0,2.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,46.0,35.0,100.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0
fight179,2,1,35.0,84.0,53.0,89.0,35.0,84.0,56.0,92.0,0.0,1.0,0.0,0.0,28.0,75.0,25.0,58.0,6.0,8.0,19.0,22.0,1.0,1.0,9.0,9.0,26.0,74.0,29.0,59.0,7.0,8.0,15.0,17.0,2.0,2.0,9.0,13.0,0.0,0.0,41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
