fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight165,2,"[0, 0]","[[9, 16], [2, 9]]","[56.0, 22.0]","[[41, 53], [3, 10]]","[[2, 2], [0, 1]]","[100.0, 0.0]","[1, 0]","[0, 0]","[242, 2]","[[8, 15], [0, 7]]","[[0, 0], [1, 1]]","[[1, 1], [1, 1]]","[[1, 7], [2, 8]]","[[0, 0], [0, 1]]","[[8, 9], [0, 0]]",,Submission
fight173,1,"[0, 0]","[[27, 64], [10, 26]]","[42.0, 38.0]","[[28, 65], [15, 31]]","[[0, 0], [2, 5]]","[0.0, 40.0]","[0, 0]","[0, 0]","[5, 91]","[[10, 42], [8, 23]]","[[8, 12], [1, 1]]","[[9, 10], [1, 2]]","[[26, 62], [10, 26]]","[[0, 1], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight173,2,"[0, 0]","[[10, 15], [23, 34]]","[66.0, 67.0]","[[11, 16], [23, 34]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 1]","[0, 0]","[0, 12]","[[9, 13], [17, 28]]","[[0, 1], [5, 5]]","[[1, 1], [1, 1]]","[[9, 14], [16, 24]]","[[1, 1], [4, 4]]","[[0, 0], [3, 6]]",,Submission
fight176,1,"[0, 0]","[[5, 11], [4, 17]]","[45.0, 23.0]","[[18, 28], [4, 17]]","[[1, 5], [0, 0]]","[20.0, 0.0]","[1, 1]","[0, 0]","[164, 38]","[[2, 5], [0, 6]]","[[0, 3], [2, 6]]","[[3, 3], [2, 5]]","[[4, 10], [4, 17]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,Submission
fight176,2,"[0, 0]","[[4, 9], [9, 17]]","[44.0, 52.0]","[[4, 9], [9, 17]]","[[0, 1], [1, 1]]","[0.0, 100.0]","[2, 0]","[0, 0]","[4, 36]","[[2, 7], [2, 8]]","[[1, 1], [6, 6]]","[[1, 1], [1, 3]]","[[3, 8], [9, 17]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight178,1,"[0, 1]","[[8, 30], [39, 58]]","[26.0, 67.0]","[[34, 57], [63, 90]]","[[1, 4], [0, 0]]","[25.0, 0.0]","[0, 0]","[0, 0]","[71, 61]","[[6, 27], [21, 38]]","[[1, 1], [16, 18]]","[[1, 2], [2, 2]]","[[5, 26], [11, 19]]","[[0, 1], [16, 23]]","[[3, 3], [12, 16]]",,Submission
fight178,2,"[0, 0]","[[10, 20], [2, 2]]","[50.0, 100.0]","[[16, 30], [2, 2]]","[[1, 3], [0, 0]]","[33.0, 0.0]","[1, 0]","[0, 0]","[58, 0]","[[2, 12], [1, 1]]","[[5, 5], [1, 1]]","[[3, 3], [0, 0]]","[[2, 12], [2, 2]]","[[0, 0], [0, 0]]","[[8, 8], [0, 0]]",,Submission
fight195,1,"[0, 0]","[[8, 14], [6, 24]]","[57.0, 25.0]","[[25, 35], [10, 28]]","[[3, 4], [0, 0]]","[75.0, 0.0]","[0, 0]","[0, 0]","[200, 8]","[[6, 12], [4, 21]]","[[1, 1], [0, 1]]","[[1, 1], [2, 2]]","[[3, 7], [6, 24]]","[[0, 0], [0, 0]]","[[5, 7], [0, 0]]",,Submission
fight195,2,"[0, 0]","[[18, 27], [1, 1]]","[66.0, 100.0]","[[36, 48], [8, 10]]","[[2, 3], [0, 0]]","[66.0, 0.0]","[1, 0]","[0, 0]","[255, 0]","[[18, 27], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]","[[0, 0], [1, 1]]","[[0, 0], [0, 0]]","[[18, 27], [0, 0]]",,Submission
fight199,1,"[0, 0]","[[7, 28], [38, 71]]","[25.0, 53.0]","[[7, 30], [44, 78]]","[[0, 3], [1, 2]]","[0.0, 50.0]","[0, 0]","[0, 0]","[0, 120]","[[3, 22], [28, 58]]","[[4, 6], [10, 13]]","[[0, 0], [0, 0]]","[[4, 25], [10, 32]]","[[3, 3], [8, 12]]","[[0, 0], [20, 27]]",,Could Not Continue
