fight,ko_winner_body_total,ko_winner_leg_total,ko_loser_body_total,ko_loser_leg_total,non_ko_winner_body_total,non_ko_winner_leg_total,non_ko_loser_body_total,non_ko_loser_leg_total
fight315,,,,,16.0,9.0,15.0,5.0
fight316,,,,,5.0,39.0,8.0,6.0
fight319,,,,,6.0,0.0,7.0,19.0
fight320,,,,,12.0,12.0,11.0,12.0
fight322,,,,,12.0,12.0,12.0,4.0
fight323,,,,,19.0,2.0,10.0,3.0
fight325,,,,,18.0,20.0,10.0,22.0
fight326,,,,,8.0,3.0,17.0,2.0
fight327,,,,,10.0,1.0,13.0,9.0
fight329,,,,,23.0,14.0,10.0,14.0
fight33,,,,,10.0,6.0,6.0,22.0
fight330,,,,,1.0,8.0,3.0,7.0
fight332,,,,,2.0,4.0,9.0,7.0
fight335,,,,,21.0,8.0,12.0,17.0
fight336,,,,,16.0,3.0,14.0,0.0
fight337,,,,,6.0,1.0,13.0,9.0
fight34,,,,,8.0,2.0,13.0,19.0
fight340,,,,,3.0,7.0,13.0,13.0
fight341,,,,,32.0,5.0,13.0,2.0
fight342,,,,,15.0,4.0,5.0,7.0
fight343,,,,,11.0,15.0,15.0,14.0
fight344,,,,,15.0,8.0,8.0,19.0
fight345,,,,,8.0,3.0,11.0,10.0
fight346,,,,,4.0,2.0,10.0,0.0
fight347,,,,,8.0,7.0,37.0,19.0
fight348,,,,,11.0,20.0,6.0,5.0
fight349,,,,,3.0,2.0,8.0,1.0
fight35,,,,,15.0,17.0,32.0,14.0
fight350,,,,,10.0,2.0,15.0,7.0
fight351,,,,,9.0,9.0,7.0,23.0
fight352,,,,,14.0,20.0,3.0,1.0
fight353,,,,,16.0,0.0,4.0,3.0
fight354,,,,,14.0,14.0,5.0,2.0
fight355,,,,,20.0,20.0,9.0,3.0
fight357,,,,,15.0,10.0,9.0,0.0
fight358,,,,,17.0,13.0,13.0,39.0
fight359,,,,,13.0,3.0,8.0,7.0
fight36,,,,,5.0,6.0,27.0,5.0
fight360,,,,,3.0,2.0,13.0,0.0
fight361,,,,,2.0,1.0,6.0,5.0
fight362,,,,,11.0,8.0,15.0,0.0
fight363,,,,,6.0,7.0,1.0,0.0
fight364,,,,,16.0,13.0,16.0,12.0
fight366,,,,,2.0,2.0,5.0,7.0
fight367,,,,,7.0,0.0,6.0,1.0
fight368,,,,,8.0,3.0,11.0,15.0
fight37,3.0,8.0,7.0,9.0,,,,
fight370,,,,,6.0,9.0,6.0,2.0
fight371,,,,,18.0,5.0,8.0,22.0
fight372,,,,,23.0,2.0,12.0,12.0
fight373,,,,,12.0,4.0,10.0,16.0
fight375,,,,,1.0,2.0,2.0,1.0
fight376,,,,,4.0,14.0,1.0,2.0
fight377,,,,,4.0,7.0,20.0,25.0
fight379,,,,,7.0,0.0,11.0,1.0
fight38,,,,,24.0,3.0,17.0,9.0
fight381,,,,,2.0,0.0,9.0,1.0
fight382,,,,,15.0,14.0,22.0,12.0
fight383,,,,,18.0,28.0,27.0,7.0
fight385,,,,,16.0,13.0,5.0,6.0
fight386,,,,,8.0,2.0,3.0,4.0
fight389,,,,,18.0,16.0,23.0,18.0
fight39,,,,,18.0,18.0,28.0,18.0
fight390,,,,,11.0,14.0,18.0,8.0
fight391,,,,,10.0,1.0,3.0,0.0
fight392,,,,,2.0,1.0,12.0,4.0
fight394,,,,,2.0,0.0,3.0,3.0
fight395,,,,,10.0,9.0,27.0,3.0
fight396,,,,,5.0,1.0,5.0,2.0
fight397,,,,,12.0,5.0,25.0,1.0
fight399,,,,,10.0,12.0,5.0,8.0
fight4,12.0,11.0,20.0,20.0,,,,
fight40,11.0,21.0,15.0,3.0,4.0,7.0,6.0,4.0
fight400,,,,,5.0,9.0,4.0,3.0
fight401,,,,,2.0,7.0,1.0,3.0
fight402,,,,,9.0,2.0,10.0,2.0
fight403,,,,,6.0,7.0,5.0,7.0
fight404,,,,,27.0,4.0,17.0,14.0
fight406,,,,,1.0,0.0,20.0,5.0
fight408,,,,,11.0,2.0,1.0,0.0
fight409,,,,,29.0,9.0,9.0,3.0
fight41,,,,,5.0,1.0,6.0,2.0
fight410,,,,,20.0,15.0,3.0,7.0
fight411,,,,,15.0,5.0,5.0,15.0
fight412,,,,,10.0,12.0,12.0,19.0
fight413,,,,,1.0,0.0,0.0,0.0
fight414,,,,,4.0,0.0,1.0,3.0
fight415,,,,,10.0,0.0,9.0,2.0
fight416,,,,,4.0,2.0,6.0,0.0
fight417,,,,,11.0,1.0,4.0,1.0
fight418,,,,,2.0,12.0,12.0,6.0
fight419,,,,,7.0,2.0,29.0,2.0
fight420,,,,,11.0,4.0,25.0,6.0
fight421,,,,,19.0,15.0,5.0,2.0
fight422,,,,,4.0,3.0,0.0,4.0
fight424,,,,,12.0,4.0,3.0,0.0
fight425,,,,,4.0,2.0,1.0,2.0
fight426,,,,,15.0,8.0,24.0,11.0
fight428,,,,,23.0,24.0,15.0,16.0
fight43,,,,,1.0,2.0,7.0,4.0
fight430,,,,,6.0,0.0,5.0,2.0
fight431,,,,,7.0,13.0,6.0,7.0
fight432,,,,,7.0,23.0,10.0,7.0
fight433,,,,,3.0,0.0,4.0,4.0
fight435,,,,,16.0,6.0,20.0,1.0
fight436,,,,,2.0,9.0,7.0,7.0
fight437,,,,,9.0,12.0,17.0,13.0
fight438,,,,,4.0,4.0,20.0,18.0
fight439,,,,,5.0,6.0,10.0,2.0
fight44,,,,,4.0,20.0,8.0,27.0
fight440,,,,,15.0,16.0,18.0,3.0
fight442,,,,,7.0,14.0,16.0,8.0
fight443,,,,,12.0,18.0,9.0,5.0
fight444,,,,,2.0,1.0,2.0,0.0
fight445,,,,,13.0,2.0,9.0,6.0
fight446,,,,,6.0,11.0,3.0,3.0
fight448,,,,,8.0,2.0,22.0,19.0
fight449,,,,,10.0,32.0,8.0,0.0
fight45,,,,,0.0,0.0,2.0,0.0
fight450,,,,,12.0,2.0,23.0,6.0
fight451,,,,,6.0,1.0,28.0,26.0
fight452,,,,,15.0,7.0,9.0,8.0
fight453,,,,,12.0,5.0,11.0,4.0
fight455,,,,,10.0,6.0,14.0,4.0
fight457,,,,,5.0,0.0,4.0,4.0
fight458,,,,,7.0,5.0,5.0,1.0
fight459,,,,,51.0,36.0,5.0,9.0
fight460,,,,,18.0,3.0,4.0,4.0
fight461,,,,,35.0,23.0,18.0,17.0
fight462,,,,,0.0,0.0,5.0,5.0
fight464,,,,,5.0,1.0,17.0,6.0
fight465,,,,,25.0,3.0,2.0,7.0
fight466,,,,,20.0,37.0,33.0,4.0
fight469,,,,,4.0,1.0,6.0,4.0
fight47,,,,,8.0,18.0,9.0,9.0
fight470,,,,,0.0,8.0,6.0,1.0
fight471,,,,,12.0,9.0,16.0,5.0
fight472,,,,,5.0,9.0,2.0,6.0
fight473,,,,,9.0,9.0,18.0,2.0
fight475,,,,,4.0,6.0,25.0,15.0
fight476,,,,,18.0,2.0,3.0,2.0
fight477,,,,,9.0,14.0,7.0,6.0
fight478,,,,,6.0,1.0,13.0,7.0
fight479,,,,,8.0,4.0,7.0,1.0
fight480,,,,,20.0,8.0,14.0,9.0
fight481,,,,,8.0,1.0,14.0,1.0
fight482,,,,,1.0,2.0,0.0,0.0
fight483,,,,,6.0,5.0,8.0,2.0
fight484,,,,,48.0,4.0,13.0,8.0
fight485,,,,,5.0,2.0,20.0,13.0
fight486,,,,,4.0,9.0,2.0,2.0
fight487,,,,,22.0,18.0,10.0,18.0
fight488,,,,,10.0,11.0,5.0,8.0
fight490,,,,,4.0,0.0,6.0,3.0
fight491,,,,,1.0,0.0,1.0,7.0
fight493,,,,,10.0,8.0,2.0,1.0
fight494,,,,,11.0,5.0,24.0,12.0
fight496,,,,,10.0,19.0,6.0,1.0
fight497,,,,,7.0,8.0,7.0,4.0
fight498,,,,,9.0,0.0,7.0,5.0
fight5,5.0,10.0,11.0,2.0,,,,
fight50,10.0,7.0,33.0,11.0,18.0,13.0,18.0,30.0
fight500,,,,,8.0,17.0,12.0,8.0
fight501,,,,,7.0,6.0,5.0,1.0
fight502,,,,,9.0,13.0,16.0,9.0
fight503,,,,,21.0,17.0,6.0,0.0
fight506,,,,,4.0,6.0,6.0,6.0
fight508,,,,,19.0,11.0,18.0,30.0
fight509,,,,,15.0,9.0,4.0,1.0
fight51,,,,,25.0,5.0,23.0,17.0
fight510,,,,,1.0,5.0,11.0,5.0
fight511,,,,,6.0,11.0,12.0,14.0
fight512,,,,,6.0,2.0,3.0,14.0
fight513,,,,,12.0,1.0,11.0,2.0
fight515,,,,,6.0,6.0,4.0,5.0
fight516,,,,,3.0,4.0,5.0,8.0
fight518,,,,,14.0,17.0,14.0,2.0
fight52,,,,,13.0,6.0,9.0,3.0
fight523,,,,,13.0,16.0,18.0,8.0
fight524,,,,,19.0,3.0,12.0,7.0
fight525,,,,,7.0,4.0,3.0,2.0
fight526,,,,,11.0,4.0,9.0,1.0
fight527,,,,,4.0,3.0,16.0,2.0
fight528,,,,,13.0,6.0,5.0,7.0
fight54,,,,,35.0,5.0,29.0,16.0
fight55,,,,,16.0,8.0,4.0,1.0
fight56,,,,,15.0,6.0,2.0,1.0
fight57,,,,,29.0,15.0,21.0,22.0
fight58,,,,,6.0,2.0,23.0,0.0
fight59,,,,,34.0,9.0,23.0,16.0
fight6,,,,,4.0,4.0,6.0,7.0
fight60,28.0,9.0,10.0,10.0,14.0,4.0,11.0,1.0
fight61,,,,,27.0,5.0,21.0,37.0
fight62,14.0,3.0,8.0,3.0,,,,
fight63,,,,,22.0,9.0,29.0,1.0
fight64,,,,,5.0,2.0,5.0,6.0
fight65,,,,,21.0,0.0,11.0,4.0
fight66,,,,,4.0,15.0,17.0,9.0
fight68,,,,,3.0,1.0,0.0,1.0
fight7,,,,,3.0,0.0,7.0,4.0
fight70,,,,,6.0,11.0,10.0,4.0
fight71,,,,,21.0,9.0,25.0,7.0
fight72,,,,,10.0,18.0,15.0,20.0
fight73,,,,,20.0,12.0,12.0,13.0
fight74,16.0,9.0,43.0,8.0,,,,
fight75,,,,,12.0,23.0,29.0,4.0
fight76,,,,,3.0,5.0,6.0,2.0
fight77,,,,,38.0,15.0,10.0,17.0
fight78,,,,,11.0,9.0,28.0,20.0
fight79,,,,,10.0,11.0,4.0,8.0
fight81,,,,,7.0,0.0,7.0,2.0
fight82,,,,,25.0,4.0,26.0,31.0
fight84,18.0,5.0,7.0,3.0,2.0,0.0,4.0,2.0
fight85,,,,,52.0,11.0,10.0,21.0
fight86,,,,,2.0,5.0,7.0,12.0
fight87,,,,,1.0,1.0,4.0,0.0
fight88,,,,,18.0,7.0,15.0,10.0
fight89,,,,,11.0,15.0,17.0,10.0
fight9,,,,,11.0,11.0,23.0,24.0
fight90,,,,,22.0,4.0,17.0,18.0
fight91,,,,,13.0,7.0,3.0,2.0
fight93,,,,,6.0,3.0,6.0,1.0
fight95,,,,,15.0,6.0,22.0,25.0
fight96,,,,,12.0,5.0,4.0,1.0
fight97,,,,,13.0,1.0,14.0,11.0
fight99,,,,,18.0,25.0,32.0,13.0
