fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight239,1,"[0, 1]","[[16, 46], [10, 31]]","[34.0, 32.0]","[[23, 54], [15, 36]]","[[3, 4], [0, 0]]","[75.0, 0.0]","[0, 0]","[0, 0]","[72, 2]","[[7, 33], [9, 27]]","[[7, 11], [1, 3]]","[[2, 2], [0, 1]]","[[10, 35], [6, 26]]","[[6, 9], [2, 3]]","[[0, 2], [2, 2]]",,KO/TKO
fight242,1,"[1, 0]","[[3, 7], [4, 15]]","[42.0, 26.0]","[[3, 7], [4, 15]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 2]","[[2, 6], [2, 13]]","[[0, 0], [2, 2]]","[[1, 1], [0, 0]]","[[2, 6], [4, 15]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]",,KO/TKO
fight243,1,"[0, 0]","[[1, 3], [21, 31]]","[33.0, 67.0]","[[1, 3], [21, 31]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[9, 0]","[[0, 1], [19, 29]]","[[0, 0], [1, 1]]","[[1, 2], [1, 1]]","[[1, 3], [3, 4]]","[[0, 0], [8, 11]]","[[0, 0], [10, 16]]",,KO/TKO
fight244,1,"[0, 1]","[[8, 17], [17, 36]]","[47.0, 47.0]","[[8, 17], [17, 37]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 38]","[[3, 12], [15, 34]]","[[1, 1], [2, 2]]","[[4, 4], [0, 0]]","[[8, 17], [4, 15]]","[[0, 0], [2, 2]]","[[0, 0], [11, 19]]",,KO/TKO
fight245,1,"[0, 1]","[[2, 16], [12, 15]]","[12.0, 80.0]","[[2, 16], [12, 15]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 4]","[[1, 14], [8, 11]]","[[0, 0], [2, 2]]","[[1, 2], [2, 2]]","[[2, 16], [6, 8]]","[[0, 0], [0, 0]]","[[0, 0], [6, 7]]",,KO/TKO
fight246,1,"[0, 0]","[[15, 26], [7, 24]]","[57.0, 29.0]","[[25, 39], [7, 24]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[67, 0]","[[15, 26], [2, 16]]","[[0, 0], [5, 8]]","[[0, 0], [0, 0]]","[[4, 15], [7, 24]]","[[0, 0], [0, 0]]","[[11, 11], [0, 0]]",,KO/TKO
fight247,1,"[1, 0]","[[19, 41], [23, 40]]","[46.0, 57.0]","[[19, 41], [24, 41]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[2, 0]","[[16, 35], [8, 19]]","[[1, 4], [3, 7]]","[[2, 2], [12, 14]]","[[15, 35], [22, 37]]","[[1, 2], [1, 3]]","[[3, 4], [0, 0]]",,KO/TKO
fight250,1,"[2, 0]","[[27, 36], [6, 13]]","[75.0, 46.0]","[[36, 46], [6, 13]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[1, 0]","[0, 0]","[0, 88]","[[25, 34], [5, 10]]","[[1, 1], [1, 3]]","[[1, 1], [0, 0]]","[[9, 13], [6, 13]]","[[15, 20], [0, 0]]","[[3, 3], [0, 0]]",,KO/TKO
fight253,1,"[2, 0]","[[24, 50], [20, 56]]","[48.0, 35.0]","[[29, 56], [20, 56]]","[[0, 0], [0, 2]]","[0.0, 0.0]","[0, 0]","[0, 0]","[46, 58]","[[20, 45], [12, 46]]","[[1, 2], [5, 7]]","[[3, 3], [3, 3]]","[[20, 41], [16, 52]]","[[1, 2], [4, 4]]","[[3, 7], [0, 0]]",,KO/TKO
fight255,1,"[0, 1]","[[6, 23], [15, 40]]","[26.0, 37.0]","[[6, 23], [15, 40]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 1]","[[2, 17], [11, 35]]","[[0, 1], [3, 4]]","[[4, 5], [1, 1]]","[[6, 23], [14, 38]]","[[0, 0], [0, 0]]","[[0, 0], [1, 2]]",,KO/TKO
